,Регион,Численность,Округ
0,Алтайский край,2268179,СФО
1,Амурская область,772525,ДФО
2,Архангельская область,1069782,СЗФО
3,Белгородская область,1531917,ЦФО
4,Брянская область,1168771,ЦФО
5,Владимирская область,1323659,ЦФО
6,Волгоградская область,2449781,ЮФО
7,Вологодская область,1139499,СЗФО
8,Воронежская область,2287678,ЦФО
9,Еврейская автономная область,153831,ДФО
10,Забайкальский край,1043467,ДФО
11,Ивановская область,976918,ЦФО
12,Иркутская область,2357134,СФО
13,Кабардино-Балкарская Республика,870487,СКФО
14,Калининградская область,1027678,СЗФО
15,Калужская область,1012844,ЦФО
16,Камчатский край,312704,ДФО
17,Карачаево-Черкесская Республика,464219,СКФО
18,Кемеровская область,2604272,СФО
19,Кировская область,1234780,ПФО
20,Костромская область,620776,ЦФО
21,Краснодарский край,5687378,ЮФО
22,Красноярский край,2849169,СФО
23,Курганская область,805510,УФО
24,Курская область,1083584,ЦФО
25,Ленинградская область,1911586,СЗФО
26,Липецкая область,1113680,ЦФО
27,Магаданская область,137767,ДФО
28,Москва,12635466,ЦФО
29,Московская область,7768878,ЦФО
30,Мурманская область,724452,СЗФО
31,Ненецкий автономный округ,44540,СЗФО
32,Нижегородская область,3144254,ПФО
33,Новгородская область,586129,СЗФО
34,Новосибирская область,2780292,СФО
35,Омская область,1879548,СФО
36,Оренбургская область,1924578,ПФО
37,Орловская область,714094,ЦФО
38,Пензенская область,1274062,ПФО
39,Пермский край,2556852,ПФО
40,Приморский край,1863011,ДФО
41,Псковская область,613356,СЗФО
42,Республика Адыгея,468340,ЮФО
43,Республика Алтай,221559,СФО
44,Республика Башкортостан,4001678,ПФО
45,Республика Бурятия,982629,ДФО
46,Республика Дагестан,3153857,СКФО
47,Республика Ингушетия,524058,СКФО
48,Республика Калмыкия,267756,ЮФО
49,Республика Карелия,603067,СЗФО
50,Республика Коми,803477,СЗФО
51,Республика Крым,1896393,ЮФО
52,Республика Марий Эл,671455,ПФО
53,Республика Мордовия,770673,ПФО
54,Республика Саха (Якутия),992115,ДФО
55,Республика Северная Осетия - Алания,688124,СКФО
56,Республика Татарстан,3886395,ПФО
57,Республика Тыва,332609,СФО
58,Республика Хакасия,528338,СФО
59,Ростовская область,4153763,ЮФО
60,Рязанская область,1085152,ЦФО
61,Самарская область,3131720,ПФО
62,Санкт-Петербург,5377503,СЗФО
63,Саратовская область,2360959,ПФО
64,Сахалинская область,484177,ДФО
65,Свердловская область,4264340,УФО
66,Севастополь,522057,ЮФО
67,Смоленская область,909856,ЦФО
68,Ставропольский край,2780204,СКФО
69,Тамбовская область,980984,ЦФО
70,Тверская область,1230190,ЦФО
71,Томская область,1068304,СФО
72,Тульская область,1432570,ЦФО
73,Тюменская область,1552148,УФО
74,Удмуртская Республика,1484460,ПФО
75,Ульяновская область,1203969,ПФО
76,Хабаровский край,1298978,ДФО
77,Ханты-Мансийский автономный округ - Югра,1702240,УФО
78,Челябинская область,3418606,УФО
79,Чеченская Республика,1516387,СКФО
80,Чувашская Республика,1198429,ПФО
81,Чукотский автономный округ,50040,ДФО
82,Ямало-Ненецкий автономный округ,552117,УФО
83,Ярославская область,1227383,ЦФО
